IMG_20260606_140624	OK	(0.5333333333333333, 0.409375, 0.3344444444444444, 0.3170833333333334)
IMG_20260606_140626	OK	(0.5048611111111111, 0.4140625, 0.3302777777777778, 0.3139583333333334)
IMG_20260606_140630	OK	(0.45416666666666666, 0.5645833333333333, 0.4927777777777777, 0.4691666666666667)
IMG_20260606_140633	OK	(0.5319444444444444, 0.5078125, 0.5038888888888888, 0.49520833333333336)
IMG_20260606_140636	OK	(0.5263888888888889, 0.6041666666666666, 0.5872222222222222, 0.4191666666666667)
IMG_20260606_140638	OK	(0.46875, 0.6328125, 0.613611111111111, 0.5014583333333333)
IMG_20260606_140641	OK	(0.6083333333333333, 0.6828125, 0.6316666666666666, 0.499375)
IMG_20260606_140643	OK	(0.4576388888888889, 0.534375, 0.31361111111111106, 0.4733333333333334)
IMG_20260606_140645	OK	(0.6180555555555556, 0.43385416666666665, 0.6399999999999999, 0.4160416666666667)
IMG_20260606_140651	OK	(0.5226388888888889, 0.4453125, 0.9519444444444444, 0.8139583333333335)
IMG_20260606_140653	OK	(0.5625, 0.5151041666666667, 0.2983333333333333, 0.4410416666666667)
IMG_20260606_140655	OK	(0.5090277777777777, 0.4583333333333333, 0.39138888888888884, 0.34208333333333335)
IMG_20260606_140657	OK	(0.39444444444444443, 0.5229166666666667, 0.6649999999999999, 0.4566666666666667)
IMG_20260606_140716	OK	(0.49166666666666664, 0.42916666666666664, 0.8316666666666666, 0.7087500000000001)
IMG_20260606_140718	OK	(0.40555555555555556, 0.4895833333333333, 0.4733333333333333, 0.5108333333333334)
IMG_20260606_140722	OK	(0.4534722222222222, 0.4015625, 0.6580555555555555, 0.6139583333333334)
IMG_20260606_140727	OK	(0.5152777777777777, 0.55, 0.6288888888888888, 0.765925925925926)
IMG_20260606_140731	OK	(0.49027777777777776, 0.5140625, 0.4705555555555555, 0.42020833333333335)
IMG_20260606_140734	OK	(0.6368055555555555, 0.4395833333333333, 0.613611111111111, 0.38375000000000004)
IMG_20260606_140740	OK	(0.5020833333333333, 0.55625, 0.5830555555555554, 0.5608333333333334)
IMG_20260606_140742	OK	(0.4986111111111111, 0.4796875, 0.565, 0.45562500000000006)
IMG_20260606_140747	OK	(0.44930555555555557, 0.5161458333333333, 0.5219444444444444, 0.4160416666666667)
IMG_20260606_140751	OK	(0.41597222222222224, 0.43645833333333334, 0.7136111111111111, 0.6212500000000001)
IMG_20260606_140845	OK	(0.41875, 0.5182291666666666, 0.5997222222222222, 0.311875)
IMG_20260606_140848	OK	(0.4756944444444444, 0.484375, 0.6802777777777778, 0.5462500000000001)
IMG_20260606_140852	OK	(0.4708333333333333, 0.5567708333333333, 0.8344444444444444, 0.49312500000000004)
IMG_20260606_140854	OK	(0.48125, 0.4765625, 0.42472222222222217, 0.3410416666666667)
IMG_20260606_140857	OK	(0.5506944444444445, 0.3572916666666667, 0.4913888888888888, 0.7045833333333335)
IMG_20260606_140859	OK	(0.50625, 0.5322916666666667, 0.6441666666666666, 0.5108333333333334)
IMG_20260606_140901	OK	(0.5229166666666667, 0.5703125, 0.48861111111111105, 0.23895833333333336)
IMG_20260606_140903	OK	(0.44722222222222224, 0.6151041666666667, 0.6205555555555555, 0.5285416666666667)
IMG_20260606_140905	OK	(0.49930555555555556, 0.36052083333333335, 0.9986111111111111, 0.7210416666666667)
IMG_20260606_140920	OK	(0.6469444444444444, 0.5177083333333333, 0.7033333333333333, 0.5025000000000001)
IMG_20260606_140922	OK	(0.59, 0.41781250000000003, 0.8172222222222222, 0.8356250000000001)
IMG_20260606_140924	OK	(0.43194444444444446, 0.5786458333333333, 0.6622222222222222, 0.38062500000000005)
IMG_20260606_140926	OK	(0.5111111111111111, 0.5546875, 0.69, 0.5910416666666668)
IMG_20260606_140928	OK	(0.5409722222222222, 0.5682291666666667, 0.6191666666666666, 0.38895833333333335)
IMG_20260606_140930	OK	(0.5479166666666667, 0.5734375, 0.6497222222222222, 0.4910416666666667)
IMG_20260606_140932	OK	(0.5854166666666667, 0.5265625, 0.7302777777777777, 0.5743750000000001)
IMG_20260606_140934	OK	(0.4673611111111111, 0.5385416666666667, 0.5191666666666666, 0.41708333333333336)
IMG_20260606_141004	OK	(0.64375, 0.5638888888888889, 0.4219444444444444, 0.5122222222222222)
